"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17128","TC01_testLogin","Demo","Fri Feb 27 16:14:29 GMT+07:00 2026","passed","Fri Feb 27 16:14:46 GMT+07:00 2026","demo.testSuites.ReadExcelFile","Read Data Excel - Chrome","demo.testSuites.ReadExcelFile","TC01_testLogin"
"","8772","TC01_testLogin","Demo","Fri Feb 27 16:14:50 GMT+07:00 2026","passed","Fri Feb 27 16:14:59 GMT+07:00 2026","demo.testSuites.ReadExcelFile","Read Data Excel - Chrome","demo.testSuites.ReadExcelFile","TC01_testLogin"
"","8892","TC01_testLogin","Demo","Fri Feb 27 16:15:02 GMT+07:00 2026","passed","Fri Feb 27 16:15:11 GMT+07:00 2026","demo.testSuites.ReadExcelFile","Read Data Excel - Chrome","demo.testSuites.ReadExcelFile","TC01_testLogin"
"","9068","TC01_testLogin","Demo","Fri Feb 27 16:15:13 GMT+07:00 2026","passed","Fri Feb 27 16:15:22 GMT+07:00 2026","demo.testSuites.ReadExcelFile","Read Data Excel - Chrome","demo.testSuites.ReadExcelFile","TC01_testLogin"
