"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2524","TC06_CheckoutProduct","Demo","Thu Feb 26 16:38:35 GMT+07:00 2026","passed","Thu Feb 26 16:38:38 GMT+07:00 2026","demo.testSuites.TestDependency","Dependency - Chrome","demo.testSuites.TestDependency","TC06_CheckoutProduct"
"","7248","TC04_AddNewProductToCart1","Demo","Thu Feb 26 16:38:21 GMT+07:00 2026","passed","Thu Feb 26 16:38:28 GMT+07:00 2026","demo.testSuites.TestDependency","Dependency - Chrome","demo.testSuites.TestDependency","TC04_AddNewProductToCart1"
"","6122","TC01_AddProductToCart","Demo","Thu Feb 26 16:38:07 GMT+07:00 2026","passed","Thu Feb 26 16:38:14 GMT+07:00 2026","demo.testSuites.TestDependency","Dependency - Chrome","demo.testSuites.TestDependency","TC01_AddProductToCart"
"","1236","TC03_DeleteProductInCart","Demo","Thu Feb 26 16:38:20 GMT+07:00 2026","passed","Thu Feb 26 16:38:21 GMT+07:00 2026","demo.testSuites.TestDependency","Dependency - Chrome","demo.testSuites.TestDependency","TC03_DeleteProductInCart"
"","6919","TC05_AddNewProductToCart2","Demo","Thu Feb 26 16:38:28 GMT+07:00 2026","passed","Thu Feb 26 16:38:35 GMT+07:00 2026","demo.testSuites.TestDependency","Dependency - Chrome","demo.testSuites.TestDependency","TC05_AddNewProductToCart2"
"","6282","TC02_EditProductInCart","Demo","Thu Feb 26 16:38:14 GMT+07:00 2026","passed","Thu Feb 26 16:38:20 GMT+07:00 2026","demo.testSuites.TestDependency","Dependency - Chrome","demo.testSuites.TestDependency","TC02_EditProductInCart"
