"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","LoginKTV","Demo","Tue Mar 17 13:51:42 GMT+07:00 2026","skipped","Tue Mar 17 13:51:42 GMT+07:00 2026","demo.mobile.testScripts.DemoApp","App - Chrome","demo.mobile.testScripts.DemoApp","LoginKTV"
"","2","beforeMethod","Demo","Tue Mar 17 13:51:42 GMT+07:00 2026","broken","Tue Mar 17 13:51:42 GMT+07:00 2026","demo.mobile.testScripts.DemoApp","App - Chrome","demo.mobile.testScripts.DemoApp","beforeMethod"
