"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","DeleteProductInCart","Demo","Thu Feb 26 13:47:31 GMT+07:00 2026","skipped","Thu Feb 26 13:47:31 GMT+07:00 2026","demo.testSuites.TestDependency","Dependency - Chrome","demo.testSuites.TestDependency","DeleteProductInCart"
"","21553","EditProductInCart","Demo","Thu Feb 26 13:47:09 GMT+07:00 2026","broken","Thu Feb 26 13:47:31 GMT+07:00 2026","demo.testSuites.TestDependency","Dependency - Chrome","demo.testSuites.TestDependency","EditProductInCart"
"","0","CheckoutProduct","Demo","Thu Feb 26 13:47:46 GMT+07:00 2026","skipped","Thu Feb 26 13:47:46 GMT+07:00 2026","demo.testSuites.TestDependency","Dependency - Chrome","demo.testSuites.TestDependency","CheckoutProduct"
"","5738","AddProductToCart","Demo","Thu Feb 26 13:47:03 GMT+07:00 2026","passed","Thu Feb 26 13:47:09 GMT+07:00 2026","demo.testSuites.TestDependency","Dependency - Chrome","demo.testSuites.TestDependency","AddProductToCart"
"","14814","AddNewProductToCart1","Demo","Thu Feb 26 13:47:31 GMT+07:00 2026","broken","Thu Feb 26 13:47:46 GMT+07:00 2026","demo.testSuites.TestDependency","Dependency - Chrome","demo.testSuites.TestDependency","AddNewProductToCart1"
"","15277","AddNewProductToCart2","Demo","Thu Feb 26 13:46:48 GMT+07:00 2026","broken","Thu Feb 26 13:47:03 GMT+07:00 2026","demo.testSuites.TestDependency","Dependency - Chrome","demo.testSuites.TestDependency","AddNewProductToCart2"
